Name,Muscle Group,Equipment,Category,Aliases,Type
Straight Arm Band Pulldown,back,band,isolation,Band Straight Arm Pulldown,strength
Straight Arm Pulldown,back,cable,isolation,"Straight Arm Lat Pulldown, Straight Arm Cable Pulldown, Stiff Arm Pulldown",strength
Sumo Deadlift,back,barbell,compound,"Sumo DL, Sumo BB Deadlift",strength
Sumo Dumbbell Deadlift,back,dumbbell,compound,"Sumo DB Deadlift, DB Sumo Deadlift",strength
Superman,back,bodyweight,isolation,"Superman Hold, Back Raise, Prone Superman",holds
Supinated Cable Row,back,cable,compound,Underhand Cable Row,strength
Supinated Lat Pulldown,back,cable,compound,Underhand Pulldown,strength
T-Bar Row,back,barbell,compound,"T Bar Row, TBar Row, Landmine Row",strength
Tempo Cable Row,back,cable,compound,Slow Cable Row,strength
Tempo Chin Up,back,bodyweight,compound,Slow Chin Up,bodyweight
Tempo Deadlift,back,barbell,compound,Slow Deadlift,strength
Tempo Pull Up,back,bodyweight,compound,Slow Pull Up,bodyweight
Thoracic Spine Rotation,back,bodyweight,isolation,T-Spine Rotation,bodyweight
Towel Row,back,bodyweight,compound,Towel Grip Row,bodyweight
Trap Bar Bent Over Row,back,barbell,compound,Hex Bar Bent Row,strength
Trap Bar Deadlift,back,barbell,compound,"Hex Bar Deadlift, Trap Bar DL",strength
Trap Bar Romanian Deadlift,back,barbell,compound,Hex Bar RDL,strength
Trap Bar Row,back,barbell,compound,Hex Bar Row,strength
Trap Bar Shrug,back,barbell,isolation,Hex Bar Shrug,strength
TRX Row,back,bodyweight,compound,"Suspension Row, TRX Inverted Row",bodyweight
Tuck Front Lever,back,bodyweight,compound,Tuck FL,holds
Underhand Barbell Row,back,barbell,compound,"Reverse Grip BB Row, Supinated BB Row, Yates Row",strength
Wall Lat Stretch,back,bodyweight,isolation,Lat Wall Stretch,holds
Weighted Chin Up,back,bodyweight,compound,Weighted Chin-Up,strength
Weighted Chin Up Pause,back,bodyweight,compound,Paused Weighted Chin Up,strength
Weighted Good Morning,back,dumbbell,compound,Dumbbell Good Morning Back,strength
Weighted Hyperextension,back,bodyweight,isolation,Weighted Back Extension,strength
Weighted Pull Up,back,bodyweight,compound,"Weighted Pull-Up, Weighted Pullup",strength
Wide Grip Cable Row,back,cable,compound,"Wide Grip Seated Row, Wide Row",strength
Wide Grip Cable Row Overhand,back,cable,compound,Overhand Wide Row,strength
Wide Grip Chin Up,back,bodyweight,compound,Wide Chin Up,bodyweight
Wide Grip Lat Pulldown Behind Neck,back,cable,compound,BTN Wide Pulldown,strength
Wide Grip Pull Up,back,bodyweight,compound,"Wide Pull Up, Wide Grip Pull-Up",bodyweight
Wide Grip Pull Up Behind Neck,back,bodyweight,compound,BTN Wide Pull Up,bodyweight
Wide Grip T-Bar Row,back,barbell,compound,Wide T-Bar Row,strength
Zercher Good Morning,back,barbell,compound,Zercher GM,strength
1.5 Rep Dumbbell Press,shoulders,dumbbell,compound,One and Half DB Press,strength
1.5 Rep Lateral Raise,shoulders,dumbbell,isolation,One and a Half Lateral Raise,strength
Alternating Dumbbell Front Raise,shoulders,dumbbell,isolation,"Alt DB Front Raise, Alternating Front Raise",strength
Alternating Dumbbell Press,shoulders,dumbbell,compound,"Alternating DB Press, Alt DB Press",strength
Arm Bar Kettlebell,shoulders,kettlebell,isolation,KB Arm Bar,strength
Arnold Press,shoulders,dumbbell,compound,"Arnold Dumbbell Press, DB Arnold Press",strength
Axle Bar Overhead Press,shoulders,barbell,compound,Axle OHP,strength
Axle Press,shoulders,barbell,compound,Axle Bar Press,strength
Band Dislocate,shoulders,band,isolation,Resistance Band Dislocate,strength
Band External Rotation,shoulders,band,isolation,Banded External Rotation,strength
Band Front Raise,shoulders,band,isolation,Resistance Band Front Raise,strength
Band Internal Rotation,shoulders,band,isolation,Banded Internal Rotation,strength
Band Lateral Raise,shoulders,band,isolation,"Resistance Band Lateral Raise, Banded Lateral Raise",strength
Band Rear Delt Fly,shoulders,band,isolation,"Band Reverse Fly, Resistance Band Rear Fly",strength
Band Shoulder Press Kneeling,shoulders,band,compound,Kneeling Band Press,strength
Band W Raise,shoulders,band,isolation,Resistance Band W Raise,strength
Band Y Raise,shoulders,band,isolation,Resistance Band Y Raise,strength
Banded External Rotation 90,shoulders,band,isolation,90 Degree Band ER,strength
Banded Face Pull,shoulders,band,isolation,Band Face Pull Shoulders,strength
Banded Lateral Walk Shoulder,shoulders,band,isolation,Band Walk Shoulders,strength
Banded Overhead Press,shoulders,band,compound,Resistance Band OHP,strength
Banded Pull Apart Overhead,shoulders,band,isolation,Overhead Band Pull Apart,strength
Banded Shoulder Stretch,shoulders,band,isolation,Band Shoulder Stretch,strength
Banded Shoulder Warmup,shoulders,band,isolation,Band Shoulder Warm Up,strength
Barbell Front Raise,shoulders,barbell,isolation,BB Front Raise,strength
Barbell High Pull,shoulders,barbell,compound,BB High Pull,strength
Barbell Upright Row,shoulders,barbell,compound,BB Upright Row,strength
Battle Rope Shoulder Press,shoulders,other,compound,Battle Rope Press,strength
Behind Neck Snatch Grip Press,shoulders,barbell,compound,Snatch Grip BTN Press,strength
Behind the Back Cable Lateral Raise,shoulders,cable,isolation,Behind Back Cable Lateral Raise,strength
Behind the Neck Press,shoulders,barbell,compound,"BTN Press, Behind Neck OHP",strength
Bench Supported Rear Delt Fly,shoulders,dumbbell,isolation,Chest Supported Rear Fly,strength
Bradford Press,shoulders,barbell,compound,Bradford Barbell Press,strength
Bus Driver,shoulders,other,isolation,"Bus Driver Exercise, Plate Bus Driver",strength
Cable Around the World,shoulders,cable,isolation,Cable Around World,strength
Cable External Rotation,shoulders,cable,isolation,Cable External Rotation at 90,strength
Cable Face Pull with External Rotation,shoulders,cable,compound,Face Pull ER,strength
Cable Front Raise,shoulders,cable,isolation,Cable Front Delt Raise,strength
Cable Front Raise Rope,shoulders,cable,isolation,Rope Cable Front Raise,strength
Cable Internal Rotation,shoulders,cable,isolation,Internal Rotation Cable,strength
Cable Lateral Raise,shoulders,cable,isolation,"Cable Side Raise, Single Arm Cable Lateral Raise",strength
Cable Lateral Raise 21s,shoulders,cable,isolation,Cable Lat Raise 21s,strength
Cable Lateral Raise Behind Back,shoulders,cable,isolation,Behind Back Cable Lat Raise,strength
Cable Lateral Raise Drop Set,shoulders,cable,isolation,Cable Lat Raise Drop,strength
Cable Lateral Raise Lean Away,shoulders,cable,isolation,Leaning Cable Lateral Raise,strength
Cable Rear Delt Fly,shoulders,cable,isolation,"Cable Reverse Fly, Rear Delt Cable Fly, Cable Rear Fly",strength
Cable Rear Delt Row,shoulders,cable,isolation,Rear Delt Cable Row,strength
Cable Reverse Fly Seated,shoulders,cable,isolation,Seated Cable Rear Fly,strength
Cable Reverse Fly Standing,shoulders,cable,isolation,Standing Cable Reverse Fly,strength
Cable Shoulder Press,shoulders,cable,compound,Cable Overhead Press,strength
Cable Upright Row,shoulders,cable,compound,Cable Upright Row Rope,strength
Cable Upright Row Wide,shoulders,cable,compound,Wide Cable Upright Row,strength
Cable W Raise,shoulders,cable,isolation,W Raise,strength
Cable Y Raise,shoulders,cable,isolation,Y Raise Cable,strength
Cable Y-T-W Raise,shoulders,cable,isolation,Cable YTW,strength
Chain Overhead Press,shoulders,barbell,compound,OHP with Chains,strength
Circus Dumbbell Press,shoulders,dumbbell,compound,Circus DB Press,strength
Cross Body Shoulder Stretch,shoulders,bodyweight,isolation,Cross Body Stretch,holds
Cuban Press,shoulders,dumbbell,compound,Cuban Rotation,strength
Dumbbell 6-Way Raise,shoulders,dumbbell,isolation,"6 Way Shoulder Raise, DB 6 Way",strength
Dumbbell External Rotation,shoulders,dumbbell,isolation,"DB External Rotation, Side Lying External Rotation",strength
Dumbbell Front Raise,shoulders,dumbbell,isolation,"DB Front Raise, Front Raise, DB Front Delt Raise",strength
Dumbbell Front Raise Neutral,shoulders,dumbbell,isolation,Neutral Grip Front Raise,strength
Dumbbell High Pull,shoulders,dumbbell,compound,DB High Pull,strength
Dumbbell L Raise,shoulders,dumbbell,isolation,"L Raise, DB L Raise",strength
Dumbbell Lateral Raise,shoulders,dumbbell,isolation,"Lateral Raise, DB Lateral Raise, Side Raise, Side Lateral Raise, DB Side Raise, Lat Raise",strength
Dumbbell Lateral Raise Cheat,shoulders,dumbbell,isolation,Cheat Lateral Raise,strength
Dumbbell Push Press,shoulders,dumbbell,compound,DB Push Press,strength
Dumbbell Rear Delt Fly,shoulders,dumbbell,isolation,"Rear Delt Fly, DB Rear Fly, Reverse Fly, DB Reverse Fly, Bent Over Fly, Bent Over Rear Delt Fly, Rear Delt Flye",strength
Dumbbell Scaption,shoulders,dumbbell,isolation,"Scaption, DB Scaption, Scaption Raise",strength
Dumbbell Scott Press,shoulders,dumbbell,compound,Scott Press,strength
Dumbbell Shoulder Circle,shoulders,dumbbell,isolation,DB Shoulder Circles,strength
Dumbbell Shoulder Complex,shoulders,dumbbell,compound,DB Shoulder Complex,strength
Dumbbell Shoulder Press,shoulders,dumbbell,compound,"DB Shoulder Press, DB Press, Dumbbell Press, Seated DB Press, Seated Dumbbell Press, DB Overhead Press",strength
Dumbbell Upright Row,shoulders,dumbbell,compound,"DB Upright Row, Upright Row",strength
Dumbbell Z Press,shoulders,dumbbell,compound,DB Z Press,strength
Eccentric Lateral Raise,shoulders,dumbbell,isolation,Slow Eccentric Lat Raise,strength
EZ Bar Upright Row,shoulders,barbell,compound,EZ Upright Row,strength
Face Pull to External Rotation,shoulders,cable,compound,Face Pull External Rotation,strength
Football Bar Overhead Press,shoulders,barbell,compound,Swiss Bar OHP,strength
Half Kneeling Cable External Rotation,shoulders,cable,isolation,Kneeling Cable ER,strength
Half Kneeling Dumbbell Press,shoulders,dumbbell,compound,Kneeling DB Press,strength
Half Kneeling Landmine Press,shoulders,barbell,compound,Kneeling Landmine Press,strength
Handstand Hold,shoulders,bodyweight,isolation,"Handstand, Wall Handstand",holds
Handstand Push Up,shoulders,bodyweight,compound,"HSPU, Handstand Press, Wall Handstand Push Up",bodyweight
Hindu Push Up,shoulders,bodyweight,compound,Dive Bomber Push Up,bodyweight
Incline Dumbbell Rear Delt Fly,shoulders,dumbbell,isolation,"Incline Rear Delt Fly, Incline Reverse Fly",strength
Incline Lateral Raise,shoulders,dumbbell,isolation,Incline DB Lateral Raise,strength
Incline Prone Rear Delt Fly,shoulders,dumbbell,isolation,Incline Prone Reverse Fly,strength
Incline Rear Delt Raise,shoulders,dumbbell,isolation,Incline Prone Rear Fly,strength
Iron Cross Hold,shoulders,dumbbell,isolation,DB Iron Cross,holds
Iso Lateral Shoulder Press Machine,shoulders,machine,compound,ISO Lateral Shoulder Press,strength
Javelin Press,shoulders,barbell,compound,Single Arm Barbell Press,strength
Kettlebell Bottoms Up Press,shoulders,kettlebell,compound,Bottoms Up KB Press,strength
Kettlebell Front Raise,shoulders,kettlebell,isolation,KB Front Raise,strength
Kettlebell Halo,shoulders,kettlebell,isolation,KB Halo,strength
Kettlebell High Pull,shoulders,kettlebell,compound,KB High Pull,strength
Kettlebell Lateral Raise,shoulders,kettlebell,isolation,KB Lateral Raise,strength
Kettlebell Press,shoulders,kettlebell,compound,"KB Press, Kettlebell Overhead Press, KB Overhead Press, KB Shoulder Press",strength
Kettlebell Push Press,shoulders,kettlebell,compound,KB Push Press,strength
Kettlebell See Saw Press,shoulders,kettlebell,compound,KB See Saw Press,strength
Kettlebell Strict Press Double,shoulders,kettlebell,compound,Double KB Strict Press,strength
Kettlebell Upright Row,shoulders,kettlebell,compound,KB Upright Row,strength
Kettlebell Windmill Press,shoulders,kettlebell,compound,KB Windmill to Press,strength
Klokov Press,shoulders,barbell,compound,Behind Neck Snatch Grip Press OH,strength
Kneeling Landmine Press Single Arm,shoulders,barbell,compound,Single Arm Kneeling Landmine,strength
Landmine Lateral Raise,shoulders,barbell,isolation,Landmine Side Raise,strength
Landmine Lateral Raise Both Arms,shoulders,barbell,isolation,Two Arm Landmine Lat Raise,strength
Landmine Single Arm Press,shoulders,barbell,compound,Landmine Press Shoulder,strength
Lateral Raise 21s,shoulders,dumbbell,isolation,21s Lateral Raise,strength
Lateral Raise Drop Set,shoulders,dumbbell,isolation,Drop Set Lateral Raise,strength
Leaning Lateral Raise,shoulders,dumbbell,isolation,"Leaning DB Lateral Raise, Lean Away Lateral Raise",strength
Log Press,shoulders,other,compound,Log Clean and Press Shoulders,strength
Lu Raise,shoulders,dumbbell,isolation,"Lu Lateral Raise, DB Lu Raise",strength
Lying Lateral Raise,shoulders,dumbbell,isolation,"Side Lying Lateral Raise, Side Lying Raise",strength
Machine Lateral Raise,shoulders,machine,isolation,"Lateral Raise Machine, Machine Side Raise",strength
Machine Lateral Raise ISO,shoulders,machine,isolation,ISO Machine Lateral Raise,strength
Machine Rear Delt Fly,shoulders,machine,isolation,Machine Rear Fly,strength
Machine Rear Delt ISO,shoulders,machine,isolation,ISO Machine Rear Delt,strength
Machine Reverse Fly,shoulders,machine,isolation,"Reverse Pec Deck, Rear Delt Machine, Machine Rear Delt Fly, Reverse Fly Machine",strength
Machine Shoulder Press,shoulders,machine,compound,"Shoulder Press Machine, Seated Machine Shoulder Press, Machine Overhead Press",strength
Mechanical Drop Set Lateral Raise,shoulders,dumbbell,isolation,Mechanical Dropset Lat Raise,strength
Myo Rep Lateral Raise,shoulders,dumbbell,isolation,Myo Reps Lateral Raise,strength
Neutral Grip Dumbbell Press,shoulders,dumbbell,compound,"Hammer Grip DB Press, Neutral DB Press",strength
Overhead Press,shoulders,barbell,compound,"OHP, BB OHP, Barbell Overhead Press, Strict Press, Military Press, Standing Press, Barbell Press, BB Press",strength
Partial Rep Lateral Raise,shoulders,dumbbell,isolation,Partial Lateral Raise,strength
Pause Overhead Press,shoulders,barbell,compound,Paused OHP,strength
Pike Push Up,shoulders,bodyweight,compound,"Pike Press, Pike Push-Up",bodyweight
Plate Front Raise,shoulders,other,isolation,Plate Raise,strength
Plate Front Raise to Overhead,shoulders,other,compound,Plate Raise Overhead,strength
Plate Halo,shoulders,other,isolation,"Halo, Weight Plate Halo",strength
Plate Lateral Raise,shoulders,other,isolation,Plate Side Raise,strength
Plate Loaded Lateral Raise Machine,shoulders,machine,isolation,Plate Loaded Lat Raise,strength
Plate Loaded Shoulder Press,shoulders,machine,compound,Hammer Strength Shoulder Press,strength
Plate Steering Wheel,shoulders,other,isolation,Steering Wheel Exercise,strength
Prone A Raise,shoulders,dumbbell,isolation,Prone Arm Raise A,strength
Prone I Raise,shoulders,dumbbell,isolation,Prone Arm Raise I,strength
Prone I-Y-T Raise,shoulders,dumbbell,isolation,"IYT Raise, Prone IYT, I-Y-T",strength
Prone T Raise,shoulders,dumbbell,isolation,Prone Arm Raise T,strength
Prone W Raise,shoulders,dumbbell,isolation,Prone Arm Raise W,strength
Prone Y Raise on Bench,shoulders,dumbbell,isolation,Bench Y Raise,strength
Push Press,shoulders,barbell,compound,"BB Push Press, Barbell Push Press",strength
Push Press Dumbbell,shoulders,dumbbell,compound,DB Push Press Shoulder,strength
Reverse Pec Deck,shoulders,machine,isolation,Reverse Machine Fly,strength
Sandbag Press,shoulders,other,compound,Sand Bag Overhead Press,strength
Scapular Push Up,shoulders,bodyweight,isolation,"Scap Push Up, Scapula Push Up",bodyweight
Seated Arnold Press,shoulders,dumbbell,compound,Seated Arnold,strength
Seated Barbell Overhead Press,shoulders,barbell,compound,"Seated OHP, Seated BB Press, Seated Military Press",strength
Seated Behind Neck Press,shoulders,barbell,compound,Seated BTN Press,strength
Seated Lateral Raise,shoulders,dumbbell,isolation,Seated DB Lateral Raise,strength
Seated Rear Delt Fly,shoulders,dumbbell,isolation,"Seated Reverse Fly, Seated Bent Over Fly",strength
Shoulder Dislocate,shoulders,other,isolation,"Band Shoulder Dislocate, PVC Dislocate, Pass Through",strength
Side Lying Windmill,shoulders,bodyweight,isolation,Floor Windmill,bodyweight
Side Press,shoulders,kettlebell,compound,KB Side Press,strength
Single Arm Dumbbell Press,shoulders,dumbbell,compound,"One Arm DB Press, Single Arm DB Shoulder Press, Unilateral DB Press",strength
Single Arm Kettlebell Press,shoulders,kettlebell,compound,"One Arm KB Press, Single Arm KB Press",strength
Single Arm Machine Lateral Raise,shoulders,machine,isolation,One Arm Machine Lat Raise,strength
Single Arm Machine Press,shoulders,machine,compound,One Arm Machine Shoulder Press,strength
Sleeper Stretch,shoulders,bodyweight,isolation,Side Lying Shoulder Stretch,holds
Smith Machine Shoulder Press,shoulders,machine,compound,"Smith Machine OHP, Smith Shoulder Press",strength
Smith Machine Upright Row,shoulders,machine,compound,Smith Upright Row,strength
Snatch Grip Push Press,shoulders,barbell,compound,Wide Grip Push Press,strength
Sots Press,shoulders,barbell,compound,Bottom Position Press,strength
Standing Barbell Press Behind Neck,shoulders,barbell,compound,Standing BTN Press,strength
Standing Cable Internal Rotation,shoulders,cable,isolation,Standing Internal Rotation,strength
Standing Dumbbell Press,shoulders,dumbbell,compound,"Standing DB Press, Standing Dumbbell Shoulder Press",strength
Standing Rear Delt Fly,shoulders,dumbbell,isolation,Standing Reverse Fly,strength
Tempo Lateral Raise,shoulders,dumbbell,isolation,Slow Lateral Raise,strength
Trap 3 Raise,shoulders,dumbbell,isolation,"Trap Three Raise, DB Trap 3",strength
Trap Bar Overhead Press,shoulders,barbell,compound,Hex Bar Press,strength
TRX Face Pull,shoulders,bodyweight,compound,Suspension Face Pull,bodyweight
TRX W Raise,shoulders,bodyweight,isolation,Suspension W Raise,bodyweight
TRX Y Raise,shoulders,bodyweight,isolation,Suspension Y Raise,bodyweight
Viking Press,shoulders,machine,compound,Landmine Viking Press,strength
Wall Slide,shoulders,bodyweight,isolation,"Wall Angel, Wall Slides",bodyweight
Wall Walk,shoulders,bodyweight,compound,Wall Walk Handstand,bodyweight
Wide Grip Upright Row,shoulders,barbell,compound,Wide Upright Row,strength
Z Press,shoulders,barbell,compound,Seated Floor Press Overhead,strength
1.25 Rep Squat,legs,barbell,compound,One and Quarter Squat,strength
1.5 Rep Bulgarian Split Squat,legs,dumbbell,compound,One and Half BSS,strength
1.5 Rep Hip Thrust,legs,barbell,compound,One and Half Hip Thrust,strength
1.5 Rep Leg Curl,legs,machine,isolation,One and Half Leg Curl,strength
1.5 Rep Leg Extension,legs,machine,isolation,One and Half Leg Extension,strength
1.5 Rep Squat,legs,barbell,compound,One and Half Squat,strength
90/90 Hip Stretch,legs,bodyweight,isolation,"90-90 Stretch, Shin Box Stretch",holds
Adductor Squeeze,legs,other,isolation,Ball Squeeze Adductor,strength
ATG Lunge,legs,bodyweight,compound,Knees Over Toes Lunge,bodyweight
ATG Split Squat,legs,dumbbell,compound,Knees Over Toes Split Squat,strength
Band Good Morning,legs,band,compound,Banded Good Morning,strength
Band Hip Abduction,legs,band,isolation,"Banded Abduction, Clamshell Band",strength
Band Hip Thrust,legs,band,compound,"Banded Hip Thrust, Resistance Band Hip Thrust",strength
Band Hip Thrust Single Leg,legs,band,compound,Banded Single Leg Hip Thrust,strength
Band Kickback,legs,band,isolation,"Banded Kickback, Resistance Band Kickback",strength
Band Leg Curl,legs,band,isolation,Resistance Band Leg Curl,strength
Band Leg Extension,legs,band,isolation,Banded Leg Extension,strength
Band RDL,legs,band,compound,Resistance Band RDL,strength
Band Squat,legs,band,compound,"Banded Squat, Resistance Band Squat",strength
Banded Ankle Mobility,legs,band,isolation,Ankle Mobility Band,strength
Banded Barbell Squat,legs,barbell,compound,Band Resisted Squat,strength
Banded Clamshell Elevated,legs,band,isolation,Elevated Banded Clamshell,strength
Banded Donkey Kick,legs,band,isolation,Band Donkey Kick,strength
Banded Fire Hydrant,legs,band,isolation,Band Fire Hydrant,strength
Banded Glute Activation,legs,band,isolation,Glute Activation Band,strength
Banded Glute Bridge,legs,band,compound,Band Glute Bridge,strength
Banded Hip Abduction Standing,legs,band,isolation,Standing Banded Abduction,strength
Banded Hip Flexor Stretch,legs,band,isolation,Band Hip Flexor,strength
Banded Kickback Cable,legs,cable,isolation,Cable Banded Kickback,strength
Banded March,legs,band,compound,Band Marching,strength
Banded Pull Through,legs,band,compound,Resistance Band Pull Through,strength
Banded Squat,legs,band,compound,Resistance Band Squat Full,strength
Banded Squat Heavy,legs,barbell,compound,Band Resisted Heavy Squat,strength
Banded Terminal Knee Extension,legs,band,isolation,"TKE, Terminal Knee Extension",strength
Barbell Back Squat,legs,barbell,compound,"Back Squat, Squat, BB Squat, Barbell Squat, High Bar Squat",strength
Barbell Bulgarian Split Squat,legs,barbell,compound,"BB Bulgarian Split Squat, BB BSS",strength
Barbell Calf Raise,legs,barbell,isolation,BB Calf Raise,strength
Barbell Calf Raise Seated,legs,barbell,isolation,BB Seated Calf Raise,strength
Barbell Cossack Squat,legs,barbell,compound,BB Cossack Squat,strength
Barbell Front Squat,legs,barbell,compound,"Front Squat, BB Front Squat",strength
Barbell Glute Bridge,legs,barbell,compound,BB Glute Bridge,strength
Barbell Glute Bridge Single Leg,legs,barbell,compound,BB Single Leg Glute Bridge,strength
Barbell Hack Squat,legs,barbell,compound,BB Hack Squat,strength
Barbell Lunge,legs,barbell,compound,"BB Lunge, BB Forward Lunge",strength
Barbell Lunge Reverse Deficit,legs,barbell,compound,BB Deficit Reverse Lunge,strength
Barbell Reverse Lunge,legs,barbell,compound,BB Reverse Lunge,strength
Barbell Reverse Lunge Deficit,legs,barbell,compound,Deficit BB Reverse Lunge,strength
Barbell Split Squat,legs,barbell,compound,BB Split Squat,strength
Barbell Step Up,legs,barbell,compound,BB Step Up,strength
Barbell Walking Lunge,legs,barbell,compound,BB Walking Lunge,strength
Belt Squat,legs,machine,compound,"Belt Squat Machine, Pit Shark Squat",strength
Belt Squat Lunge,legs,machine,compound,Belt Squat Walking Lunge,strength
Belt Squat March,legs,machine,compound,Belt Squat Marching,strength
Bodyweight Calf Raise,legs,bodyweight,isolation,BW Calf Raise,bodyweight
Bodyweight Hip Thrust Single Leg Elevated,legs,bodyweight,compound,Elevated SL Hip Thrust,bodyweight
Bodyweight Squat,legs,bodyweight,compound,"Air Squat, BW Squat, Squat Bodyweight",bodyweight
Box Pistol Squat,legs,bodyweight,compound,Assisted Pistol Squat,bodyweight
Box Squat,legs,barbell,compound,"BB Box Squat, Barbell Box Squat",strength
Buffalo Bar Squat,legs,barbell,compound,Buffalo Bar Back Squat,strength
Bulgarian Split Squat,legs,dumbbell,compound,"BSS, DB Bulgarian Split Squat, Rear Foot Elevated Split Squat, RFESS",strength
Butterfly Stretch,legs,bodyweight,isolation,Seated Butterfly,holds
Cable Calf Raise,legs,cable,isolation,Standing Cable Calf Raise,strength
Cable Goblet Squat,legs,cable,compound,Cable Front Squat Goblet,strength
Cable Goblet Squat Hold,legs,cable,compound,Cable Goblet ISO Hold,holds
Cable Hamstring Curl Standing,legs,cable,isolation,Standing Cable Hamstring Curl,strength
Cable Hip Abduction,legs,cable,isolation,Cable Abduction,strength
Cable Hip Adduction,legs,cable,isolation,Cable Adduction,strength
Cable Hip Thrust,legs,cable,compound,Cable Glute Bridge,strength
Cable Kickback,legs,cable,isolation,"Glute Kickback, Cable Glute Kickback",strength
Cable Lateral Lunge,legs,cable,compound,Cable Side Lunge,strength
Cable Lateral Walk,legs,cable,compound,Cable Side Walk,strength
Cable Leg Extension,legs,cable,isolation,Cable Quad Extension,strength
Cable Lying Leg Curl,legs,cable,isolation,Lying Cable Leg Curl,strength
Cable Pull Through Rope,legs,cable,compound,Rope Pull Through,strength
Cable Pull Through Single Leg,legs,cable,compound,Single Leg Pull Through,strength
Cable Romanian Deadlift,legs,cable,compound,Cable RDL,strength
Cable Split Squat,legs,cable,compound,Cable Front Foot Split Squat,strength
Cable Squat,legs,cable,compound,Cable Goblet Squat,strength
Cable Step Up,legs,cable,compound,Cable Box Step Up,strength
Cambered Bar Squat,legs,barbell,compound,Cambered BB Squat,strength
Chain Squat,legs,barbell,compound,Squat with Chains,strength
Clamshell,legs,band,isolation,"Banded Clamshell, Clamshell Exercise",strength
Close Stance Hack Squat,legs,machine,compound,Narrow Hack Squat,strength
Cluster Set Squat,legs,barbell,compound,Cluster Squat,strength
Copenhagen Plank,legs,bodyweight,isolation,Copenhagen Adductor,holds
Cossack Squat,legs,bodyweight,compound,Side Lunge Squat,bodyweight
Couch Stretch,legs,bodyweight,isolation,Wall Quad Stretch,holds
Curtsy Lunge,legs,dumbbell,compound,"DB Curtsy Lunge, Crossover Lunge",strength
Curtsy Lunge to Lateral Lunge,legs,bodyweight,compound,Curtsy to Lateral Lunge,bodyweight
Cyclist Squat,legs,barbell,compound,"Heel Elevated Squat, Quad Squat",strength
DB Cossack Squat,legs,dumbbell,compound,Dumbbell Cossack Squat,strength
DB Single Leg Calf Raise,legs,dumbbell,isolation,Single Leg DB Calf Raise,strength
Deep Squat Hold,legs,bodyweight,isolation,"Squat Hold, Third World Squat",holds
Deficit Reverse Lunge,legs,dumbbell,compound,DB Deficit Reverse Lunge,strength
Donkey Calf Raise,legs,machine,isolation,Donkey Calf Machine,strength
Donkey Kick,legs,bodyweight,isolation,Glute Donkey Kick,bodyweight
Double Kettlebell Squat,legs,kettlebell,compound,Double KB Squat,strength
Dumbbell Calf Raise,legs,dumbbell,isolation,"DB Calf Raise, Single Leg DB Calf Raise",strength
Dumbbell Cyclist Squat,legs,dumbbell,compound,DB Heel Elevated Squat,strength
Dumbbell Front Squat,legs,dumbbell,compound,DB Front Squat,strength
Dumbbell Hip Thrust,legs,dumbbell,compound,DB Hip Thrust,strength
Dumbbell Leg Curl,legs,dumbbell,isolation,"DB Leg Curl, DB Hamstring Curl",strength
Dumbbell Lunge,legs,dumbbell,compound,"DB Lunge, DB Forward Lunge, Dumbbell Forward Lunge",strength
Dumbbell Squat,legs,dumbbell,compound,DB Squat,strength
Dumbbell Stiff Leg Deadlift,legs,dumbbell,compound,"DB SLDL, DB Stiff Leg Deadlift",strength
Eccentric Calf Raise,legs,bodyweight,isolation,Negative Calf Raise,bodyweight
Eccentric Hamstring Slide,legs,bodyweight,isolation,Hamstring Slide Eccentric,bodyweight
Eccentric Leg Extension,legs,machine,isolation,Negative Leg Extension,strength
Eccentric Lying Leg Curl,legs,machine,isolation,Negative Leg Curl,strength
Eccentric Nordic Curl,legs,bodyweight,isolation,Negative Nordic Curl,bodyweight
Eccentric Seated Leg Curl,legs,machine,isolation,Negative Seated Leg Curl,strength
Elephant Walk,legs,bodyweight,isolation,Hamstring Walk,bodyweight
Elevated Heel Squat Bodyweight,legs,bodyweight,compound,BW Heel Elevated Squat,bodyweight
Fire Hydrant,legs,bodyweight,isolation,Fire Hydrant Exercise,bodyweight
Foam Roll Glutes,legs,other,isolation,Glute Foam Roll,strength
Foam Roll IT Band,legs,other,isolation,IT Band Foam Roll,strength
Foam Roll Quads,legs,other,isolation,Quad Foam Roll,strength
Frog Pump,legs,bodyweight,isolation,Frog Glute Bridge,bodyweight
Frog Stretch,legs,bodyweight,isolation,Frog Pose,holds
Front Foot Elevated Split Squat,legs,dumbbell,compound,"FFE Split Squat, Deficit Split Squat",strength
Front Rack Kettlebell Squat,legs,kettlebell,compound,Double KB Front Rack Squat,strength
GHR with Band,legs,band,compound,Banded GHR,strength
Glute Bridge,legs,bodyweight,compound,"BW Glute Bridge, Bodyweight Glute Bridge",bodyweight
Glute Bridge March,legs,bodyweight,compound,Marching Glute Bridge,bodyweight
Glute Drive Machine,legs,machine,compound,Glute Drive,strength
Glute Focused Back Extension,legs,bodyweight,isolation,45 Degree Glute Extension,bodyweight
Glute Ham Raise,legs,bodyweight,compound,"GHR, GH Raise, Glute Hamstring Raise, Glute Ham Developer",bodyweight
Goblet Box Squat,legs,dumbbell,compound,DB Goblet Box Squat,strength
Goblet Squat,legs,dumbbell,compound,"DB Goblet Squat, Dumbbell Goblet Squat",strength
